,pk,track,artists,time_taken,remarks,CFP,CFD,UC,RHC,CPT,BD,R,weighted_total,chord_locations
0,1016,Disco Inferno (1977),The Trammps,151,,1,2,1,1,2,3,0,14,./data/chords/1016_salami_chords.txt
1,1934,Rockit (1983),Herbie Hancock,255,,1,1,1,1,1,0,0,11,./data/chords/1934_salami_chords.txt
2,1270,Lambada (1990),Kaoma,106,,0,1,0,1,2,3,1,8,./data/chords/1270_salami_chords.txt
3,530,This House (1990),Tracie Spencer,247,,3,2,2,1,2,3,1,25,./data/chords/530_salami_chords.txt
4,27,Rock 'N' Roll Fantasy (1979),Bad Company,171,,1,2,1,2,2,2,1,18,./data/chords/27_salami_chords.txt
5,195,School's Out (1972),Alice Cooper,439,,1,1,1,1,2,2,1,14,./data/chords/195_salami_chords.txt
6,109,Ma Belle Amie (1970),The Tee Set,483,,2,2,1,1,3,0,1,20,./data/chords/109_salami_chords.txt
7,73,Crazy On You (1976),Heart,200,,0,1,1,1,2,2,1,11,./data/chords/73_salami_chords.txt
8,458,Addicted To Love (1986),Robert Palmer,197,,0,1,1,1,1,1,0,8,./data/chords/458_salami_chords.txt
9,553,Maniac (1983),Michael Sembello,259,,2,3,2,1,2,1,1,24,./data/chords/553_salami_chords.txt
10,881,Don't Stand So Close To Me (1981),The Police,176,,0,1,1,1,2,1,0,9,./data/chords/881_salami_chords.txt
11,736,Do I Do (1982),Stevie Wonder,288,,3,3,3,2,2,3,2,34,./data/chords/736_salami_chords.txt
12,967,Breezin' (1976),George Benson,240,,1,2,2,2,2,3,0,19,./data/chords/967_salami_chords.txt
13,567,The Look (1989),Roxette,146,,0,1,0,3,1,0,1,11,./data/chords/567_salami_chords.txt
14,1235,For Ol' Times Sake (1973),Elvis Presley,171,,0,1,1,1,1,0,1,10,./data/chords/1235_salami_chords.txt
15,1113,Lonely Weekends (1960),Charlie Rich,399,,0,1,0,1,3,0,0,7,./data/chords/1113_salami_chords.txt
16,864,Elvira (1981),Oak Ridge Boys,113,,0,2,0,1,2,0,1,10,./data/chords/864_salami_chords.txt
17,790,Everybody Loves Me But You (1962),Brenda Lee,239,,1,2,1,1,1,0,1,15,./data/chords/790_salami_chords.txt
18,276,Patches (1970),Clarence Carter,570,,1,1,1,1,1,0,1,13,./data/chords/276_salami_chords.txt
19,351,Roll On Down The Highway (1975),Bachman-Turner Overdrive,154,,0,1,0,1,2,3,1,8,./data/chords/351_salami_chords.txt
20,1061,Best Of My Love (1974),Eagles,191,,1,1,2,2,2,3,1,19,./data/chords/1061_salami_chords.txt
21,1283,Standing In The Shadows Of Love (1966),Four Tops,147,,2,2,2,2,2,2,1,24,./data/chords/1283_salami_chords.txt
22,205,Pressure (1982),Billy Joel,242,,2,2,2,2,3,0,1,25,./data/chords/205_salami_chords.txt
23,209,Already Gone (1974),Eagles,140,,0,1,0,1,1,0,0,5,./data/chords/209_salami_chords.txt
24,1194,The Year That Clayton Delaney Died (1971),Tom T. Hall,976,,0,1,0,1,1,0,0,5,./data/chords/1194_salami_chords.txt
25,583,Amor (1961),Ben E. King,344,,1,2,1,1,1,0,1,15,./data/chords/583_salami_chords.txt
26,1232,Heaven Must Have Sent You (1979),Bonnie Pointer,163,,0,1,1,1,3,0,1,12,./data/chords/1232_salami_chords.txt
27,838,Surfin' Safari (1962),The Beach Boys,99,,0,1,0,1,1,0,0,5,./data/chords/838_salami_chords.txt
28,893,War (1970),Edwin Starr,216,,0,1,0,1,1,3,0,5,./data/chords/893_salami_chords.txt
29,1289,There She Goes (1991),The La s,170,,0,2,1,1,3,1,1,14,./data/chords/1289_salami_chords.txt
30,865,Don't Talk To Strangers (1982),Rick Springfield,190,,2,2,2,2,2,3,1,24,./data/chords/865_salami_chords.txt
31,573,"Oh Me, Oh My (Dreams In My Arms) (1975)",Al Green,152,,0,2,1,2,1,1,1,14,./data/chords/573_salami_chords.txt
32,450,Jessie's Girl (1981),Rick Springfield,198,,1,1,1,3,3,3,1,19,./data/chords/450_salami_chords.txt
33,332,Waiting On A Friend (1981),The Rolling Stones,241,,0,2,1,1,2,3,1,13,./data/chords/332_salami_chords.txt
34,1225,I've Got A Tiger By The Tail (1965),Buck Owens,37,,0,2,0,1,2,0,0,8,./data/chords/1225_salami_chords.txt
35,1273,We Don't Talk Anymore (1979),Cliff Richard,221,,1,2,2,2,2,2,1,21,./data/chords/1273_salami_chords.txt
36,1012,All This Time (1991),Sting,252,,1,2,1,1,2,0,1,16,./data/chords/1012_salami_chords.txt
37,503,Good Vibrations (1991),Marky Mark,301,,0,1,0,0,1,3,0,3,./data/chords/503_salami_chords.txt
38,1107,"Ob-La-Di, Ob-La-Da (1976)",The Beatles,146,,1,2,1,1,2,0,0,14,./data/chords/1107_salami_chords.txt
39,561,Boulevard (1980),Jackson Browne,173,,0,1,0,1,2,2,1,8,./data/chords/561_salami_chords.txt
40,1042,Oh Me Oh My (I'm A Fool For You Baby) (1972),Aretha Franklin,220,,1,2,2,2,1,0,1,20,./data/chords/1042_salami_chords.txt
41,187,Help Is On Its Way (1977),Little River Band,268,,0,2,1,1,2,3,1,13,./data/chords/187_salami_chords.txt
42,464,Flesh For Fantasy (1984),Billy Idol,208,,1,2,2,3,2,0,1,23,./data/chords/464_salami_chords.txt
43,916,Promises (1978),Eric Clapton,190,,0,1,0,1,1,0,1,7,./data/chords/916_salami_chords.txt
44,669,You Can't Roller Skate In A Buffalo Herd (1966),Roger Miller,1005,,0,0,0,1,1,0,0,3,./data/chords/669_salami_chords.txt
45,688,On The Road Again (1968),Canned Heat,695,,1,3,2,2,2,0,0,21,./data/chords/688_salami_chords.txt
46,433,If I Could Reach You (1972),The 5th Dimension,213,,1,2,1,2,1,0,1,17,./data/chords/433_salami_chords.txt
47,389,Tenderness (1984),General Public,582,,1,2,1,2,2,1,1,18,./data/chords/389_salami_chords.txt
48,848,"Liar, Liar (1965)",The Castaways,184,,1,2,1,2,2,2,1,18,./data/chords/848_salami_chords.txt
49,1087,There But For Fortune (1965),Joan Baez,149,,0,1,0,1,1,0,1,7,./data/chords/1087_salami_chords.txt
50,119,Stand By Me (1970),"David Ruffin,Jimmy Ruffin",102,,0,0,0,0,1,0,0,1,./data/chords/119_salami_chords.txt
51,253,Love Came To Me (1962),Dion,156,,0,1,0,1,1,0,0,5,./data/chords/253_salami_chords.txt
52,727,Eight Days A Week (1965),The Beatles,360,,1,1,1,1,1,0,1,13,./data/chords/727_salami_chords.txt
53,779,A Very Special Love Song (1974),Charlie Rich,316,,2,2,2,1,2,0,1,22,./data/chords/779_salami_chords.txt
54,671,Heaven's Just A Sin Away (1977),The Kendalls,117,,0,1,0,1,1,0,1,7,./data/chords/671_salami_chords.txt
55,828,Journey To The Center Of The Mind (1968),The Amboy Dukes,195,,0,1,0,1,1,1,1,7,./data/chords/828_salami_chords.txt
56,106,If (1971),Bread,2291,,2,2,2,1,1,0,0,19,./data/chords/106_salami_chords.txt
57,809,On The Wings Of A Nightingale (1984),Everly Brothers,196,,1,1,1,1,2,1,1,14,./data/chords/809_salami_chords.txt
58,1085,Make Me Smile (1970),Chicago,1062,,1,2,1,1,2,2,2,18,./data/chords/1085_salami_chords.txt
59,770,Hair (1969),The Cowsills,257,,1,1,1,2,2,2,1,16,./data/chords/770_salami_chords.txt
60,481,"Baby, Baby Don't Cry (1969)",The Miracles,506,,1,2,1,2,1,2,2,19,./data/chords/481_salami_chords.txt
61,149,Just When I Needed You Most (1979),Randy Vanwarmer,306,,0,1,1,1,1,0,1,10,./data/chords/149_salami_chords.txt
62,1127,One Less Bell To Answer (1970),The 5th Dimension,321,,2,3,3,2,3,0,1,30,./data/chords/1127_salami_chords.txt
63,995,Gloria (1982),Laura Branigan,246,,0,1,1,1,2,3,1,11,./data/chords/995_salami_chords.txt
64,115,Sweet Little Rock And Roll (1958),Chuck Berry,203,,0,1,0,1,1,0,0,5,./data/chords/115_salami_chords.txt
65,236,"Tonight, Tonight, Tonight (1987)",Genesis,502,,1,2,2,1,2,0,1,19,./data/chords/236_salami_chords.txt
66,1009,The Millionaire (1975),Dr. Hook,192,,1,2,1,1,1,2,1,15,./data/chords/1009_salami_chords.txt
67,550,Shake Your Groove Thing (1978),Peaches & Herb,242,,0,2,2,1,1,0,1,15,./data/chords/550_salami_chords.txt
68,329,Smoking Gun (1987),The Robert Cray Band,157,,0,0,1,1,1,3,0,6,./data/chords/329_salami_chords.txt
69,430,I Want A New Drug (1984),Huey Lewis,141,,0,0,0,1,2,0,1,6,./data/chords/430_salami_chords.txt
70,91,True (1983),Spandau Ballet,427,,1,2,2,2,1,0,1,20,./data/chords/91_salami_chords.txt
71,294,Mr. Bojangles (1968),Jerry Jeff Walker,560,,2,2,1,1,2,0,1,19,./data/chords/294_salami_chords.txt
72,890,Let's Go Get Stoned (1966),Ray Charles,192,,1,2,1,1,1,0,1,15,./data/chords/890_salami_chords.txt
73,1147,A Cowboys Work Is Never Done (1972),Sonny & Cher,448,,0,1,1,1,0,0,1,9,./data/chords/1147_salami_chords.txt
74,1267,"Rock And Roll, Hoochie Koo (1974)",Rick Derringer,178,,0,1,0,3,2,0,0,10,./data/chords/1267_salami_chords.txt
75,900,I Wish It Would Rain (1968),The Temptations,145,,0,1,0,1,0,0,0,4,./data/chords/900_salami_chords.txt
76,709,Caught Up In The Rapture (1986),Anita Baker,446,,1,2,2,2,1,2,1,20,./data/chords/709_salami_chords.txt
77,882,Somebody s Watching Me (1984),Rockwell,414,,0,2,1,1,1,0,0,10,./data/chords/882_salami_chords.txt
78,1162,Cruisin' (1979),Smokey Robinson,979,,0,2,0,1,1,1,1,9,./data/chords/1162_salami_chords.txt
79,554,Walk Right In (1963),The Moments,149,,0,1,0,1,2,0,0,6,./data/chords/554_salami_chords.txt
80,494,I Don't Need You (1981),Kenny Rogers,721,,2,3,3,2,1,0,1,28,./data/chords/494_salami_chords.txt
81,130,Tumbling Dice (1972),The Rolling Stones,261,,0,1,1,1,1,1,1,10,./data/chords/130_salami_chords.txt
82,78,Dial My Heart (1988),The Boys,509,,1,2,3,2,1,0,1,23,./data/chords/78_salami_chords.txt
83,914,If Not You (1976),Dr. Hook,187,,0,1,1,1,1,0,1,10,./data/chords/914_salami_chords.txt
84,905,Teach Your Children (1970),"Crosby, Stills & Nash",209,,0,1,0,1,1,0,0,5,./data/chords/905_salami_chords.txt
